date,operator,draw_no,1st,2nd,3rd,special,consolation
1986-01-26,Magnum 4D,012/86,4031,0620,3411,"7701,1560,3358,7152,6553,2324,3604,7330,9636,8054","2185,9446,3833,3969,6686,7172,6714,1713,7186,6653"
1986-01-30,Magnum 4D,013/86,7142,8625,1954,"9326,7457,9653,5413,3961,6291,7844,4036,2323,6422","6518,9744,2801,6076,4599,8668,7704,8552,0933,3297"
1986-02-01,Magnum 4D,014/86,4490,5810,0756,"4520,5939,3116,0251,6852,9981,8478,2500,1263,5972","5517,0230,6703,5742,0219,0353,4084,6736,4945,4309"
1986-02-02,Magnum 4D,015/86,9634,1526,7341,"5323,9301,8952,0931,8395,3125,8648,3556,4072,1303","3748,2198,4432,0754,9607,9482,5515,4123,1557,2296"
1986-02-06,Magnum 4D,016/86,1111,7722,9033,"1994,0525,4213,5864,1130,0869,6532,8629,7526,8564","2421,1295,7345,5782,8218,3775,3093,0334,2677,6799"
1986-02-08,Magnum 4D,017/86,9323,9148,0574,"3448,2920,3842,7421,1144,3555,0989,2532,4647,8590","5328,3945,3359,6720,6473,0910,6702,3285,9021,5257"
1986-02-09,Magnum 4D,018/86,4433,7986,7690,"8012,3136,9895,3853,2478,2607,8483,2569,2267,5110","9327,2561,4408,7149,2901,9587,7732,3094,0170,3889"
1986-02-13,Magnum 4D,019/86,9766,8434,7046,"3589,1426,7666,3995,9432,2975,7940,8922,0869,8874","9995,6934,8001,4516,9285,3836,1920,1954,2525,7841"
1986-02-15,Magnum 4D,020/86,8677,5885,4308,"1939,9123,6824,9058,7174,7339,2733,1428,5270,7206","7027,6040,5169,5774,2922,2532,5030,9328,1958,2694"
1986-02-16,Magnum 4D,021/86,5301,0117,3242,"8172,2029,9472,9685,3234,2231,8348,0372,1299,6115","8278,1398,6886,9132,2674,0877,0679,1093,5279,5653"
1986-02-20,Magnum 4D,022/86,8484,0872,4938,"9685,2497,8797,0450,4048,8709,7597,1774,5478,2629","3799,9463,3391,2652,2653,3024,7034,5361,1983,2453"
1986-02-22,Magnum 4D,023/86,3406,5893,6099,"1779,8971,1670,6252,1535,4944,1706,8941,8449,6724","2707,3260,6520,8711,5153,1735,1335,3626,8735,2260"
